ID,SABLE,tee,GROUP,DRUG,Lean,Weight,Fat,window_start_time,window_end_time,RMR_kcal_day,TEE_minus_RMR
3721,BW regain,10.785868294166654,Restricted,RTIOXA_47,27.58,38.97,11.23,2025-07-15T09:49:00Z,2025-07-15T10:18:00Z,8.7898656,1.9960026941666538
3721,Baseline,11.263750039166675,Restricted,RTIOXA_47,25.51,36.9,11.13,2024-11-28T12:15:00Z,2024-11-28T12:44:00Z,8.7601712,2.503578839166675
3721,Peak obesity,10.78363210916666,Restricted,RTIOXA_47,27.44,43.85,16.93,2025-02-09T02:52:00Z,2025-02-09T03:21:00Z,8.49762088,2.286011229166661
3722,BW loss,5.705129798833337,Restricted,RTIOXA_47,24.27,32.54,8.15,2025-04-17T22:52:00Z,2025-04-17T23:21:00Z,3.60614888,2.0989809188333366
3722,BW maintenance,9.204971388833314,Restricted,RTIOXA_47,25.05,31.55,6.81,2025-06-10T05:10:00Z,2025-06-10T05:39:00Z,1.578005336,7.626966052833314
3722,BW regain,7.995408387499993,Restricted,RTIOXA_47,29.2,40.61,11.2,2025-07-14T23:57:00Z,2025-07-15T00:26:00Z,6.61278336,1.3826250274999934
3722,Baseline,10.596041501666667,Restricted,RTIOXA_47,25.64,35.15,11.07,2024-11-27T08:23:00Z,2024-11-27T08:52:00Z,8.47103104,2.125010461666667
3722,Peak obesity,9.792068369166675,Restricted,RTIOXA_47,26.43,39.8,13.53,2025-02-13T03:13:00Z,2025-02-13T03:42:00Z,7.5780316,2.2140367691666745
3726,BW loss,12.007440055833314,Ad lib,RTIOXA_47,26.9,51.63,25.19,2025-04-22T08:25:00Z,2025-04-22T08:54:00Z,7.78389928,4.223540775833314
3726,BW maintenance,16.66182774916664,Ad lib,RTIOXA_47,25.84,54.29,28.63,2025-06-10T07:35:00Z,2025-06-10T08:04:00Z,10.402729279999999,6.259098469166641
3726,BW regain,11.908306851666662,Ad lib,RTIOXA_47,29.55,55.9,27.12,2025-07-20T07:14:00Z,2025-07-20T07:43:00Z,10.80931752,1.0989893316666617
3726,Baseline,9.849403762500007,Ad lib,RTIOXA_47,23.03,31.46,12.09,2024-11-27T08:27:00Z,2024-11-27T08:56:00Z,8.5237668,1.3256369625000062
3726,Peak obesity,9.044155673333329,Ad lib,RTIOXA_47,26.36,49.12,23.59,2025-02-09T06:13:00Z,2025-02-09T06:42:00Z,7.425458000000001,1.6186976733333278
3727,BW loss,6.061587824999996,Restricted,Vehicle,25.56,35.58,10.2,2025-04-09T10:56:00Z,2025-04-09T11:25:00Z,4.6284472,1.4331406249999956
3727,BW maintenance,9.986469061666657,Restricted,Vehicle,23.31,33.07,10,2025-06-11T07:32:00Z,2025-06-11T08:01:00Z,3.90151408,6.084954981666657
3727,BW regain,9.823318051666659,Restricted,Vehicle,27.7,38.73,10.82,2025-07-21T09:57:00Z,2025-07-21T10:26:00Z,9.29799888,0.5253191716666592
3727,Baseline,11.99009760916665,Restricted,Vehicle,25.38,36.2,10.87,2024-12-05T02:52:00Z,2024-12-05T03:21:00Z,10.13480736,1.85529024916665
3727,Peak obesity,10.804965577500015,Restricted,Vehicle,26.08,41.68,15.99,2025-03-02T00:24:00Z,2025-03-02T00:53:00Z,7.5839333600000005,3.2210322175000146
3728,BW loss,7.573676330833327,Restricted,Vehicle,24.29,38.63,14.06,2025-04-09T13:24:00Z,2025-04-09T13:53:00Z,6.115280799999999,1.4583955308333278
3728,BW maintenance,7.699471961666667,Restricted,Vehicle,22.87,36,13.44,2025-06-10T11:47:00Z,2025-06-10T12:16:00Z,3.10713984,4.592332121666667
3728,BW regain,7.177362608333333,Restricted,Vehicle,26.26,41.75,15.3,2025-07-20T13:07:00Z,2025-07-20T13:36:00Z,6.579851359999999,0.5975112483333334
3728,Baseline,11.62577233250001,Restricted,Vehicle,24.04,34.3,10.29,2024-12-04T06:58:00Z,2024-12-04T07:27:00Z,9.770574159999999,1.8551981725000104
3728,Peak obesity,9.973267784166664,Restricted,Vehicle,26.05,44.8,19.48,2025-02-13T10:27:00Z,2025-02-13T10:56:00Z,8.03396456,1.9393032241666646
3729,BW loss,5.016789792500003,Restricted,RTIOXA_47,26.03,41.41,15.24,2025-04-11T01:46:00Z,2025-04-11T02:15:00Z,3.9386528,1.0781369925000028
3729,BW maintenance,8.317822704166678,Restricted,RTIOXA_47,25.63,39.57,14.3,2025-06-14T03:14:00Z,2025-06-14T03:43:00Z,3.5015400800000003,4.8162826241666785
3729,BW regain,8.995648203333332,Restricted,RTIOXA_47,28.38,45.79,17.15,2025-07-20T10:07:00Z,2025-07-20T10:36:00Z,7.7730653599999995,1.2225828433333321
3729,Baseline,10.980429913333317,Restricted,RTIOXA_47,25,39.3,14.07,2024-12-04T06:36:00Z,2024-12-04T07:05:00Z,8.51927792,2.461151993333317
3729,Peak obesity,10.135646034166658,Restricted,RTIOXA_47,27.67,47.54,20.09,2025-02-13T03:11:00Z,2025-02-13T03:40:00Z,7.25570968,2.8799363541666585
